9,10,30,144,30,10,11,60,288
16,20,43,184,43,18,22,86,368
25,28,58,284,58,28,31,116,568
36,40,76,348,76,40,44,152,696
77,91,116,603,116,85,100,232,1206
112,151,180,887,180,123,166,360,1774
153,205,220,1096,220,168,226,440,2192
200,268,272,1598,272,220,295,544,3196
253,340,336,2540,336,278,374,672,5080
320,999999999,520,3676,520,400,999999999,1040,7352
385,999999999,604,4290,604,481,999999999,1208,8580
490,999999999,699,4946,699,613,999999999,1398,9892
585,999999999,802,6679,802,731,999999999,1604,13358
700,999999999,948,9492,948,875,999999999,1896,18984
830,999999999,1125,12770,1125,1038,999999999,2250,31925
970,999999999,1668,14344,1668,1213,999999999,3336,35860
1120,999999999,1937,16005,1937,1400,999999999,3874,40013
1260,999999999,2226,20642,2226,1575,999999999,4452,51605
1420,999999999,3040,27434,3040,1775,999999999,6080,68585
1620,999999999,3988,35108,3988,2268,999999999,7976,87770
1860,999999999,5564,38577,5564,2604,999999999,11128,96443
1990,999999999,6272,42206,6272,2786,999999999,12544,105515
2240,999999999,7021,52708,7021,3136,999999999,14042,131770
2504,999999999,9114,66971,9114,3506,999999999,18228,167428
2950,999999999,11473,82688,11473,4130,999999999,28683,206720
3426,999999999,15290,89544,15290,4796,999999999,38225,223860
3934,999999999,16891,96669,16891,5508,999999999,42228,241673
4474,999999999,18570,117821,18570,6264,999999999,46425,294553
6889,999999999,23229,144921,23229,9645,999999999,58073,362303
7995,999999999,28359,174201,28359,12392,999999999,70898,479053
9174,999999999,36478,186677,36478,14220,999999999,91195,513362
10425,999999999,39716,199584,39716,16159,999999999,99290,548856
11748,999999999,43088,238617,43088,18209,999999999,107720,656197
13967,999999999,52417,286366,52417,21649,999999999,131043,787507
15775,999999999,62495,337147,62495,24451,999999999,156238,927154
17678,999999999,78160,358435,78160,27401,999999999,195400,985696
19677,999999999,84175,380376,84175,30499,999999999,210438,1046034
21773,999999999,90404,447685,90404,33748,999999999,226010,1231134
30543,999999999,107611,526989,107611,47342,999999999,269028,1449220
34212,999999999,125915,610246,125915,58160,999999999,314788,1678177
38065,999999999,153941,644736,153941,64711,999999999,384853,1773024
42102,999999999,191781,793535,191781,71573,999999999,479453,2380605
46323,999999999,204351,921810,204351,78749,999999999,510878,2765430
53026,999999999,248352,1106758,248352,90144,999999999,620880,3320274
58419,999999999,286212,1260955,286212,99312,999999999,715530,3782865
64041,999999999,386371,1487304,386371,108870,999999999,965928,4461912
69892,999999999,409795,1557657,409795,118816,999999999,1024488,4672971
75973,999999999,482092,1990632,482092,129154,999999999,1205230,5971896
102468,999999999,509596,2083386,509596,174196,999999999,1273990,6250158
115254,999999999,999999999,999999999,982092,213220,999999999,999999999,6875174
128692,999999999,999999999,999999999,992092,238080,999999999,999999999,7562652
142784,999999999,999999999,999999999,1002092,264150,999999999,999999999,8318960
157528,999999999,999999999,999999999,1012092,291427,999999999,999999999,9150856
178184,999999999,999999999,999999999,1022092,329640,999999999,999999999,10065942
196300,999999999,999999999,999999999,1032092,363155,999999999,999999999,11877812
215198,999999999,999999999,999999999,1042092,398116,999999999,999999999,14015818
234879,999999999,999999999,999999999,1052092,434526,999999999,999999999,16538655
255341,999999999,999999999,999999999,1062092,472381,999999999,999999999,19515624
330188,999999999,999999999,999999999,1072092,610848,999999999,999999999,23028437
365914,999999999,999999999,999999999,1082092,731828,999999999,999999999,28094693
403224,999999999,999999999,999999999,1092092,806448,999999999,999999999,34275525
442116,999999999,999999999,999999999,1102092,884232,999999999,999999999,41816141
482590,999999999,999999999,999999999,1112092,965180,999999999,999999999,51015692
536948,999999999,999999999,999999999,1122092,1073896,999999999,999999999,62239144
585191,999999999,999999999,999999999,1132092,1170382,999999999,999999999,79666104
635278,999999999,999999999,999999999,1142092,1270556,999999999,999999999,101672614
687211,999999999,999999999,999999999,1152092,1374422,999999999,999999999,130524946
740988,999999999,999999999,999999999,1162092,1481976,999999999,999999999,167071930
925400,999999999,999999999,999999999,1172092,1850800,999999999,999999999,213852071
1473746,999999999,999999999,999999999,999999999,3389616,999999999,999999999,999999999
1594058,999999999,999999999,999999999,999999999,3666333,999999999,999999999,999999999
1718928,999999999,999999999,999999999,999999999,3953534,999999999,999999999,999999999
1848355,999999999,999999999,999999999,999999999,4251217,999999999,999999999,999999999
