ID,LEVEL
100001,255
100002,255
100003,255
100004,255
100005,255
100006,255
100007,255
100008,255
100009,255
100010,255
100011,255
100012,255
100013,255
100014,255
100015,255
100016,255
100017,255
100018,255
100019,255
100020,255
100021,255
100022,255
100023,255
100024,255
100025,255
100026,255
100027,255
100028,255
100029,255
100030,255
100031,255
100032,255
100033,255
100034,255
100035,255
100036,255
100037,255
100038,255
100039,255
100040,255
100041,255
100042,255
100043,255
100044,255
100045,255
100046,255
100047,255
100048,255
100049,255
100050,255
100051,255
100052,255
100053,255
100054,255
100055,255
100056,255
100057,255
100058,255
100059,255
100060,255
100061,255
100062,255
100063,255
100064,255
100065,255
100066,255
100067,255
100068,255
100069,255
100070,255
100071,255
100072,255
100073,255
100074,255
100075,255
100076,255
100077,255
100078,255
100079,255
100080,255
100081,255
100082,255
100083,255
100084,255
100085,255
100086,255
100087,255
100088,255
100089,255
100090,255
100091,255
100092,255
100093,255
100094,255
100095,255
100096,255
100097,255
100098,255
100099,255
100100,255
