0,0,1,50,65,70,100,100,100,80,100,70,100,65,100,100,100,100,100,100
8000,70,2,40,50,55,60,65,70,70,74,65,100,100,100,100,100,100,100,100
2000,30,6,50,60,100,100,100,100,100,100,100,100,70,100,100,100,100,100,100
6000,50,2,40,60,100,100,100,100,100,100,100,100,100,70,100,100,100,100,100
4000,40,5,35,100,100,100,100,100,100,100,60,100,60,100,100,100,100,100,100
8000,40,3,40,60,70,100,100,100,70,75,70,100,100,100,100,100,100,100,100
4000,50,2,40,50,65,100,100,100,80,100,100,100,100,85,100,100,100,100,100
8000,150,3,40,50,50,55,60,65,70,74,65,100,100,100,100,100,100,100,100
6000,75,7,35,100,100,100,100,100,100,100,60,100,60,100,100,100,100,60,100
4000,55,9,50,60,100,100,100,100,100,100,100,100,70,100,100,100,100,100,100
10000,90,4,40,60,70,100,100,100,70,75,70,100,100,100,100,100,100,100,100
7000,85,4,40,60,100,100,100,100,100,100,100,100,100,60,100,100,100,100,100
4000,110,4,40,50,65,100,100,100,80,100,100,100,100,100,100,100,100,100,50
8000,150,3,40,50,50,55,60,65,70,74,65,100,100,100,100,100,100,100,100
8000,120,5,40,50,50,55,60,65,70,74,65,100,100,100,100,100,100,100,100
6000,97,5,40,100,100,100,100,100,100,100,60,100,60,100,48,100,100,60,100
4000,65,8,50,57,100,100,100,100,100,100,100,100,66,100,100,100,100,60,100
4000,115,4,40,49,60,100,100,100,80,100,100,100,100,78,100,100,100,100,100
10000,88,5,40,60,70,100,100,100,70,75,70,100,100,100,100,100,100,100,100
7000,80,5,40,60,100,100,100,100,100,100,100,100,100,66,100,60,100,100,100
7000,80,5,40,60,100,100,100,100,100,100,100,100,100,66,100,100,60,100,100
0,0,1,50,65,70,100,100,100,80,100,70,100,65,100,100,100,100,100,100
0,0,1,50,65,70,100,100,100,80,100,70,100,65,100,100,100,100,100,100
2000,30,2,45,55,70,100,100,100,80,100,70,100,65,100,100,100,100,100,100
2000,30,2,45,55,70,100,100,100,80,100,70,100,65,100,100,100,100,100,100
8000,90,3,40,50,55,60,65,70,70,74,65,100,100,100,100,100,100,100,100
2000,50,7,50,60,100,100,100,100,100,100,100,100,70,100,100,100,100,100,100
6000,70,3,40,60,100,100,100,100,100,100,100,100,100,70,100,100,100,100,100
4000,60,6,35,100,100,100,100,100,100,100,60,100,60,100,100,100,100,100,100
8000,60,4,40,60,70,100,100,100,70,75,70,100,100,100,100,100,100,100,100
4000,70,3,40,50,65,100,100,100,80,100,100,100,100,85,100,100,100,100,100
8000,170,4,40,50,50,55,60,65,70,74,65,100,100,100,100,100,100,100,100
6000,95,8,35,100,100,100,100,100,100,100,60,100,60,100,100,100,100,60,100
4000,75,10,50,60,100,100,100,100,100,100,100,100,70,100,100,100,100,100,100
10000,110,6,40,60,70,100,100,100,70,75,70,100,100,100,100,100,100,100,100
7000,105,5,40,60,100,100,100,100,100,100,100,100,100,60,100,100,100,100,100
4000,130,5,40,50,65,100,100,100,80,100,100,100,100,100,100,100,100,100,50
8000,170,4,40,50,50,55,60,65,70,74,65,100,100,100,100,100,100,100,100
8000,140,6,40,50,50,55,60,65,70,74,65,100,100,100,100,100,100,100,100
6000,107,6,40,100,100,100,100,100,100,100,60,100,60,100,48,100,100,60,100
4000,85,9,50,57,100,100,100,100,100,100,100,100,66,100,100,100,100,60,100
4000,135,5,40,49,60,100,100,100,80,100,100,100,100,78,100,100,100,100,100
10000,108,6,40,60,70,100,100,100,70,75,70,100,100,100,100,100,100,100,100
7000,100,6,40,60,100,100,100,100,100,100,100,100,100,66,100,60,100,100,100
7000,100,6,40,60,100,100,100,100,100,100,100,100,100,66,100,100,60,100,100
